No,Product Name,Quantity,Price per Piece (₹),Total Price (₹),Total Price in USB,Note,Link 
1,Tactile Push Button Switch 6x6x5,2,14,28,0.30,,https://robu.in/product/6x6x5-tactile-push-button-switch/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcf0A3fY80VS7iF_2pv895su&gclid=Cj0KCQiAp-zLBhDkARIsABcYc6v59b7jajFDtJc8ITZZgidU-pmQJ62HVqhr39seP1507ZM18sWTFqcaArkIEALw_wcB
2,Raspberry PI PICO W,1,614,614,6.81,,https://robu.in/product/raspberry-pi-pico-w/?gad_source=1&gad_campaignid=19974686076&gbraid=0AAAAADvLFWcXqIbP7oikicT7ydSwpgWdc&gclid=Cj0KCQiAp-zLBhDkARIsABcYc6vP5UjzOFi2FgMYn5xSuTCVw07-t22X9j81CGx0wHu5rvmYLteD2hUaAvZIEALw_wcB
3,2PCS Hall Effect Sensor Joystick,1,847,847,9.40,,https://www.amazon.in/Effect-Analog-Joystick-Replacement-Potentiometer/dp/B0CNWYWCYN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.yTrcBDSzT4Z__YT3A0U7QhidPqYX_L9i_2q4dpHb5Zk8w3xZERHDIJ2StQStpDFhoh2CYmkDBzMiCgYCRRvjeGSS38XenfhPC-6BubY1WUZSUt4I85csuQqd0xMq7AzjsIm4EwqBUYZ8MOxWBEtp5j_j20ErS60AK_Y2ABxBBh_MT5RlpWgablh7mR5EWPUC1agaTmDxZDd6jfrfhX_S18HjWzYufyhgjYwyfYc5Mp0.jUlRQh2PuDt7XOzo4QlPCoJT47zpf4NRu6f0_yOiXh0&dib_tag=se&keywords=hall+effect+joystick&qid=1769706132&sr=8-3
4,CJMCU-4051 74HC4051 8 Channel Analog Multiplexer/,1,76,76,0.84,,https://robu.in/product/cjmcu-4051-74hc4051-8-channel-analog-multiplexerdemultiplexer-sensor-module-breakout-board-arduino/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWe5CmQQdqYQJWSZC34rssFBf&gclid=Cj0KCQiAp-zLBhDkARIsABcYc6uqQPE-CzZ6Nxvv3l5QUfT1Kyf-xW6aCYceeywKVr6oXbq27brJzb8aAqyMEALw_wcB
5,AO3400A-HUASHUO-30V 5.2A,2,6,12,0.13,,https://robu.in/product/cjmcu-4051-74hc4051-8-channel-analog-multiplexerdemultiplexer-sensor-module-breakout-board-arduino/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWe5CmQQdqYQJWSZC34rssFBf&gclid=Cj0KCQiAp-zLBhDkARIsABcYc6uqQPE-CzZ6Nxvv3l5QUfT1Kyf-xW6aCYceeywKVr6oXbq27brJzb8aAqyMEALw_wcB
6,1N4148W-Slkor-75V 1V 4ns 150mA SOD,2,1.43,2.86,0.03,,https://robu.in/product/1n4148w-slkor-75v-1v-4ns-150ma-sod-123-switching-diodes-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcf0A3fY80VS7iF_2pv895su&gclid=Cj0KCQiAp-zLBhDkARIsABcYc6vbq1icOAxCQN0XVsm3HmPx6btHA1JONRzDyl2NLKdhf7C5iVf7JaQaAu9nEALw_wcB
7,10k Ohm 0.5W Metal Film Resistor,2,0.98,1.96,0.02,,https://robu.in/product/10k-ohm-0-5w-metal-film-resistor-pack-of-50/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcf0A3fY80VS7iF_2pv895su&gclid=Cj0KCQiAp-zLBhDkARIsABcYc6tObzm8SUTqamHJZle0tSbTc0NZCRFYo25k3WrQbBPCdyu1YqqxjQIaAhD0EALw_wcB
8,4mm x 2mm Neodymium Disc Strong Magnet (2 Piece),1,11.8,11.8,0.13,,https://roboticsdna.in/product/4mm-x-2mm-neodymium-disc-strong-magnet-2-piece/?src=google&kwd=&adgroup={adgroup}&device=c&campaign={campaign}&adgroup={adgroup}&keyword=&matchtype=&gad_source=1&gad_campaignid=22411741198&gbraid=0AAAAAC-xzeEzRjdZa9zB_MKpxKtE3veFC&gclid=Cj0KCQiAp-zLBhDkARIsABcYc6sirww8hvSsnXKsVqlnFONxJ9u3WgrSQFMVh7flv8ItjAlhq6uubIkaAqAwEALw_wcB
9,MPU-6050 3-Axis Accelerometer,1,173,173,1.92,,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer/?gad_source=1&gad_campaignid=21296336107&gbraid=0AAAAADvLFWcS--vV0pLJR4JGi7dJm_lnY&gclid=Cj0KCQiAp-zLBhDkARIsABcYc6vAQwOrt1-TJJjYP66sRT9aSi-RE0QhHArzpXgwcmosL3Kzm7OaicYaAmq3EALw_wcB
10,"HONEYWELL Board Mount Hall Effect/Magnetic Sensor-SS49E,",2,106,212,2.35,,https://robu.in/product/honeywell-board-mount-hall-effect-magnetic-sensors-ss49e-flat-to-92-3-0vdc-ratiometric-pcb/?gad_source=1&gad_campaignid=20363337560&gbraid=0AAAAADvLFWfyHc5sgbMwYQvcfxeVtIj1I&gclid=Cj0KCQiAp-zLBhDkARIsABcYc6vJRdJcFoDd0okimnvyolYWW2n8jZtYKEeLLNwTd2kwG60LG9xlGYIaAiq3EALw_wcB
11,4000 RPM 5V DC Vibration Rumble Motor,2,29,137,1.52,58 + 79(Deliver)),https://electronicspices.com/product/4000-rpm-5v-dc-vibration-rumble-motor?srsltid=AfmBOoq1UheaPKpbND1WwmCL1Y56Wt3M-3ln9g_jKBrAjCv5Bcj4_dFJAsA
12,PCB,1,1934.74,1934.74,21.06,7.20+13.86(Deliver),https://jlcpcb.com/
13,3D print,1,"1,995",1995,22.13,,https://robu.in/product/3d-printing-service/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWce1TGYPk4iF1duZj5NboTcT&gclid=CjwKCAiA95fLBhBPEiwATXUsxCpF28w2xp06MBvxctvXUNON8hQWr-W7Y1cCl5F-RdYkTWKcSANeJRoCprwQAvD_BwE
14,KFC-A06W1-7.0-Tact Switch with Bracket,2,3,6,0.07,,
,,Total,,6051.36,66.72,,
